[2022-05-04 04:30:27] [INFO]: 当前版本:v1.0.0-rc1 
[2022-05-04 04:30:27] [INFO]: 将使用 device.json 内的设备信息运行Bot. 
[2022-05-04 04:30:27] [INFO]: Bot将在5秒后登录并开始信息处理, 按 Ctrl+C 取消. 
[2022-05-04 04:30:32] [INFO]: 开始尝试登录并同步消息... 
[2022-05-04 04:30:32] [INFO]: 使用协议: iPad 
[2022-05-04 04:30:38] [INFO]: Protocol -> connect to server: 43.135.106.161:8080 
[2022-05-04 04:30:41] [INFO]: 收到服务器地址更新通知, 将在下一次重连时应用.  
[2022-05-04 04:30:41] [INFO]: 登录成功 欢迎使用: 小八的狐狸耳朵~ 
[2022-05-04 04:30:41] [INFO]: 开始加载好友列表... 
[2022-05-04 04:30:42] [INFO]: 共加载 4 个好友. 
[2022-05-04 04:30:42] [INFO]: 开始加载群列表... 
[2022-05-04 04:30:42] [INFO]: 共加载 5 个群. 
[2022-05-04 04:30:43] [INFO]: 资源初始化完成, 开始处理信息. 
[2022-05-04 04:30:43] [INFO]: アトリは、高性能ですから! 
[2022-05-04 04:30:43] [INFO]: 开始尝试连接到反向WebSocket Universal服务器: ws://127.0.0.1:15510/cqhttp/ws/ 
[2022-05-04 04:30:43] [INFO]: 正在检查更新. 
[2022-05-04 04:30:43] [INFO]: 已连接到反向WebSocket Universal服务器 ws://127.0.0.1:15510/cqhttp/ws/ 
[2022-05-04 04:30:43] [INFO]: 检查更新完成. 当前已运行最新版本. 
[2022-05-04 04:30:48] [INFO]: 开始诊断网络情况 
[2022-05-04 04:30:52] [WARNING]: 警告: 长消息响应延迟为 2176ms, 大于 1000ms, 可能导致无法接收/发送长消息的情况, 请检查本地网络状态. 
[2022-05-04 04:30:52] [INFO]: 网络诊断完成. 未发现问题 
[2022-05-04 12:08:29] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 岂无飞(402818767) 的消息: [CQ:forward,id=o3w/CvwDWwZMIR+AaDNG9/mNguGhgKgRbYEdMqJ5rfzDtwFJGn75LNBKRnW2RpuJ] (1128420288) 
[2022-05-04 17:23:01] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 炎头队长沙福林(2175422756) 的消息: [CQ:forward,id=F1EdXgLpdCTGlwFfGM8mLIqfVw/WXv6KnXUYWJpZOxneHJfil88xuJXREXF5D0Qm] (595974693) 
[2022-05-04 17:23:01] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 炎头队长沙福林(2175422756) 的消息: [CQ:forward,id=96ZqKqhkZGcrIdchllMV2wW7JvkBsE0OtZJ2QvPKLtJGkzcCIazybIs6JP/QlFou] (1417865907) 
[2022-05-04 17:23:01] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 炎头队长沙福林(2175422756) 的消息: [CQ:forward,id=83vleMv0qU86GdGNm/Jcwne+WhXyHGzSTB+WvnFpV4JZxC2ONEv5uSsMS6BNLPgO] (-846480631) 
[2022-05-04 17:23:01] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 炎头队长沙福林(2175422756) 的消息: [CQ:forward,id=Tt+T3OYEgSY/WmyUE+fb5Gwe7oulFYxZNH3KVBGkE7ei6VYo6QweGCtwJ6dHlnql] (-1165194337) 
[2022-05-04 19:30:44] [INFO]: 发送群 Py QQbot(813476953) 的消息: 秦喵喵发了新动态：  ... (-1517172756) 
[2022-05-04 19:30:47] [INFO]: 发送群 Py QQbot(813476953) 的消息: [CQ:image, ... (1005933135) 
[2022-05-04 19:30:54] [INFO]: 发送群 Py QQbot(813476953) 的消息: [CQ:image, ... (1290953433) 
[2022-05-04 19:30:55] [INFO]: 发送群 Py QQbot(813476953) 的消息: 本条动态地址为htt ... (-704957597) 
[2022-05-04 19:49:40] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 圣徒的亡灵(1339837523) 的消息: 炎头复活了 (619191868) 
[2022-05-04 19:50:44] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 Baki今天吃冒险家(3117086319) 的消息: 老图新发 (1408183978) 
[2022-05-04 19:50:44] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 圣徒的亡灵(1339837523) 的消息: 来点三次元露点的,求求了炎头,发不出来可以私发我, (-890863856) 
[2022-05-04 21:29:04] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 魔男(511198723) 的消息: [CQ:forward,id=IdU954axNpYqkqHyWDB9SBv6n68lPVvKyWWf6hyZRHf8hLPn12Ge6g+vMPL5lc6H] (-1109307514) 
[2022-05-04 21:29:45] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 炎头队长沙福林(2175422756) 的消息: 不好找 (761156119) 
[2022-05-04 21:30:02] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 圣徒的亡灵(1339837523) 的消息: 老哥牛批 (1515807361) 
[2022-05-04 21:30:25] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 圣徒的亡灵(1339837523) 的消息: 我愿称你为菲尼克斯十五世 (145263078) 
[2022-05-04 21:32:57] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 魔男(511198723) 的消息: [CQ:image,file=e3a82dea22d0907ffd9b9e77d72c8a3e.image,subType=1] (2142222704) 
